timestamp,ip_address,req_method,path,status_code,country,Home,Language,Navigation,Content,Content2,Content3,Date,Time
25/Apr/2023 21:11:48 ,143.76.22.128, POST, olympics.com/en/podcast/mental-health-elite-sports-podcast,201,United States, olympics.com,en,podcast,mental-health-elite-sports-podcast,None,None,2023-04-25,21:11
19/Jan/2023 09:06:27 ,93.51.60.137, GET, olympics.com/en/sport-events/muaythai-combat-preliminaries-2-world-championships-bangkok,503,Italy, olympics.com,en,sport-events,muaythai-combat-preliminaries-2-world-championships-bangkok,None,None,2023-01-19,09:06
02/Feb/2023 01:20:35 ,80.81.167.218, GET, olympics.com/en/video/sakamoto-kaori-interview-resilience-focus-future?uxreference=playlist,503,Finland, olympics.com,en,video,sakamoto-kaori-interview-resilience-focus-future?uxreference=playlist,None,None,2023-02-02,01:20
25/Mar/2023 03:25:11 ,85.184.21.254, GET, olympics.com/en/sport-events/,200,Czechia, olympics.com,en,sport-events,,None,None,2023-03-25,03:25
10/Apr/2023 22:52:42 ,89.82.90.45, GET, olympics.com/en/podcast/pau-gasol-nba-olympics-kobe-interview,201,France, olympics.com,en,podcast,pau-gasol-nba-olympics-kobe-interview,None,None,2023-04-10,22:52
28/Apr/2023 03:22:36 ,133.78.86.66, GET, olympics.com/en/sport-events/2023-wr-rugby-sevens-olympic-qualifier-women-s-world-series-final-toulouse/,400,Japan, olympics.com,en,sport-events,2023-wr-rugby-sevens-olympic-qualifier-women-s-world-series-final-toulouse,,None,2023-04-28,03:22
10/Jan/2023 11:59:34 ,54.117.111.101, GET, olympics.com/en/sport-events/muaythai-combat-preliminaries-2-world-championships-bangkok,200,United States, olympics.com,en,sport-events,muaythai-combat-preliminaries-2-world-championships-bangkok,None,None,2023-01-10,11:59
08/Jan/2023 08:23:47 ,38.80.93.85, GET, olympics.com/en/olympic-games/olympic-results,200,United States, olympics.com,en,olympic-games,olympic-results,None,None,2023-01-08,08:23
21/Feb/2023 17:19:21 ,80.177.203.254, GET, olympics.com/en/esports/,200,United Kingdom, olympics.com,en,esports,,None,None,2023-02-21,17:19
08/Mar/2023 15:43:04 ,51.251.254.35, GET, olympics.com/en/sports/fencing,202,United Kingdom, olympics.com,en,sports,fencing,None,None,2023-03-08,15:43
27/Feb/2023 21:41:37 ,35.23.53.227, GET, olympics.com/en/original-series/episode/kyoto-born-bmx-rider-is-going-for-glory-at-tokyo-2020-heroes-of-the-future-japan?uxreference=playlist,200,United States, olympics.com,en,original-series,episode,kyoto-born-bmx-rider-is-going-for-glory-at-tokyo-2020-heroes-of-the-future-japan?uxreference=playlist,None,2023-02-27,21:41
24/Apr/2023 21:07:40 ,19.180.226.196, POST, olympics.com/en/sport-events/muaythai-combat-preliminaries-1-world-championships-bangkok,200,United States, olympics.com,en,sport-events,muaythai-combat-preliminaries-1-world-championships-bangkok,None,None,2023-04-24,21:07
09/Apr/2023 09:10:12 ,130.205.111.189, GET, olympics.com/en/sports/boxing,200,United States, olympics.com,en,sports,boxing,None,None,2023-04-09,09:10
18/Mar/2023 20:02:40 ,123.112.3.76, GET, olympics.com/en/olympic-games/olympic-results,200,China, olympics.com,en,olympic-games,olympic-results,None,None,2023-03-18,20:02
08/Apr/2023 09:51:01 ,101.135.68.244, GET, olympics.com/en/athletes/serena-williams,200,China, olympics.com,en,athletes,serena-williams,None,None,2023-04-08,09:51
30/Mar/2023 03:29:49 ,123.130.100.105, POST, olympics.com/en/news/giro-italia-2023-daily-stage-results-general-classification-standings,202,China, olympics.com,en,news,giro-italia-2023-daily-stage-results-general-classification-standings,None,None,2023-03-30,03:29
25/Jan/2023 07:12:24 ,205.35.2.4, GET, olympics.com/en/search/all/Katie%20ledecky,202,United States, olympics.com,en,search,all,Katie%20ledecky,None,2023-01-25,07:12
