25/Apr/2023 14:51:43 ,130.232.149.37, POST, olympics.com/en/search/all/cycling, HTTP/1.0,200,1092
13/Jan/2023 13:29:56 ,141.19.128.51, PUT, olympics.com/en/search/all/Katie%20ledecky, HTTP/1.0,503,9769
13/Mar/2023 11:46:11 ,129.189.141.10, GET, olympics.com/en/video/rio-2016-lalita-babar-steeplechase-national-record?uxreference=playlist, HTTP/1.1,503,6070
27/Feb/2023 11:41:28 ,35.229.158.49, PUT, olympics.com/en/athletes/yaroslava-mahuchikh, HTTP/2.0,200,7547
19/Feb/2023 11:11:08 ,201.131.69.63, GET, olympics.com/en/sport-events/muaythai-combat-preliminaries-2-world-championships-bangkok, HTTP/2.0,200,4286
26/Jan/2023 01:14:51 ,126.9.6.118, PUT, olympics.com/en/sport-events/muaythai-combat-preliminaries-1-world-championships-bangkok, HTTP/2.0,200,6251
08/Apr/2023 07:47:43 ,105.156.152.28, GET, olympics.com/en/sport-events/muaythai-combat-preliminaries-2-world-championships-bangkok, HTTP/2.0,204,4962
09/Feb/2023 21:28:49 ,160.97.13.51, DELETE, olympics.com/en/video/sport-highlights-beijing-2022-curling-men-s-round-robin-nor-ita-day-13, HTTP/2.0,302,1800
25/Mar/2023 00:13:24 ,205.184.188.221, GET, olympics.com/en/podcast/mental-health-elite-sports-podcast, HTTP/1.0,204,2967
03/Mar/2023 16:37:03 ,169.191.44.189, GET, olympics.com/en/podcast/podcast-team-gb-paralympic-rowing-erin-kennedy-cancer, HTTP/1.1,200,6814
01/Mar/2023 14:46:16 ,243.238.93.156, GET, olympics.com/en/search/all/Eliud%20Kipchoge, HTTP/1.0,200,239
03/Feb/2023 19:46:49 ,66.202.37.218, GET, olympics.com/en/olympic-games/tokyo-2020, HTTP/1.0,301,3710
06/May/2023 02:56:42 ,242.38.80.207, PUT, olympics.com/en/athletes/eliud-kipchoge, HTTP/1.0,200,9916
20/Feb/2023 15:16:55 ,178.68.163.147, DELETE, olympics.com/en, HTTP/1.1,200,3522
